Location,Household Type,TimeFrame,DataFormat,Data,Fips
Fresh Meadows/Briarwood,All Households,2023,Dollars,78065,408
Fresh Meadows/Briarwood,Families,2023,Dollars,87076,408
Fresh Meadows/Briarwood,Families with Children,2023,Dollars,80927,408
Fresh Meadows/Briarwood,Families without Children,2023,Dollars,101295,408
Greenwich Village,All Households,2023,Dollars,198945,102
Greenwich Village,Families,2023,Dollars,250000,102
Greenwich Village,Families with Children,2023,Dollars,250000,102
Greenwich Village,Families without Children,2023,Dollars,250000,102
Howard Beach,All Households,2023,Dollars,89142,410
Howard Beach,Families,2023,Dollars,105601,410
Howard Beach,Families with Children,2023,Dollars,103834,410
Howard Beach,Families without Children,2023,Dollars,106018,410
Hunts Point,All Households,2023,Dollars,33940,202
Hunts Point,Families,2023,Dollars,41669,202
Hunts Point,Families with Children,2023,Dollars,37035,202
Hunts Point,Families without Children,2023,Dollars,43778,202
Jackson Heights,All Households,2023,Dollars,75083,403
Jackson Heights,Families,2023,Dollars,79668,403
Jackson Heights,Families with Children,2023,Dollars,69735,403
Jackson Heights,Families without Children,2023,Dollars,81449,403
Jamaica/St. Albans,All Households,2023,Dollars,75235,412
Jamaica/St. Albans,Families,2023,Dollars,83739,412
Jamaica/St. Albans,Families with Children,2023,Dollars,74186,412
Jamaica/St. Albans,Families without Children,2023,Dollars,93166,412
Lower East Side,All Households,2023,Dollars,54482,103
Lower East Side,Families,2023,Dollars,52942,103
Lower East Side,Families with Children,2023,Dollars,52558,103
Lower East Side,Families without Children,2023,Dollars,53181,103
Manhattan,All Households,2023,Dollars,101078,36061
Manhattan,Families,2023,Dollars,142096,36061
Manhattan,Families with Children,2023,Dollars,186062,36061
Manhattan,Families without Children,2023,Dollars,130041,36061
Manhattanville,All Households,2023,Dollars,54508,109
Manhattanville,Families,2023,Dollars,66227,109
Manhattanville,Families with Children,2023,Dollars,47442,109
Manhattanville,Families without Children,2023,Dollars,67416,109
Midtown Business District,All Households,2023,Dollars,144175,105
Midtown Business District,Families,2023,Dollars,250000,105
Midtown Business District,Families with Children,2023,Dollars,250000,105
Midtown Business District,Families without Children,2023,Dollars,206083,105
Morrisania,All Households,2023,Dollars,30846,203
Morrisania,Families,2023,Dollars,36286,203
Morrisania,Families with Children,2023,Dollars,30435,203
Morrisania,Families without Children,2023,Dollars,52840,203
Mott Haven,All Households,2023,Dollars,33940,201
Mott Haven,Families,2023,Dollars,41669,201
Mott Haven,Families with Children,2023,Dollars,37035,201
Mott Haven,Families without Children,2023,Dollars,43778,201
Murray Hill/Stuyvesant,All Households,2023,Dollars,144175,106
Murray Hill/Stuyvesant,Families,2023,Dollars,232609,106
Murray Hill/Stuyvesant,Families with Children,2023,Dollars,250000,106
Murray Hill/Stuyvesant,Families without Children,2023,Dollars,206083,106
New York City,All Households,2023,Dollars,76577,3651000
New York City,Families,2023,Dollars,88053,3651000
New York City,Families with Children,2023,Dollars,80530,3651000
New York City,Families without Children,2023,Dollars,92415,3651000
Park Slope,All Households,2023,Dollars,159851,306
Park Slope,Families,2023,Dollars,196592,306
Park Slope,Families with Children,2023,Dollars,215417,306
Park Slope,Families without Children,2023,Dollars,189375,306
Pelham Parkway,All Households,2023,Dollars,58881,211
Pelham Parkway,Families,2023,Dollars,66932,211
Pelham Parkway,Families with Children,2023,Dollars,50821,211
Pelham Parkway,Families without Children,2023,Dollars,78417,211
Queens,All Households,2023,Dollars,81929,36081
Queens,Families,2023,Dollars,92634,36081
Queens,Families with Children,2023,Dollars,82153,36081
Queens,Families without Children,2023,Dollars,98587,36081
Queens Village,All Households,2023,Dollars,103300,413
Queens Village,Families,2023,Dollars,110830,413
Queens Village,Families with Children,2023,Dollars,112687,413
Queens Village,Families without Children,2023,Dollars,110351,413
Rego Park/Forest Hills,All Households,2023,Dollars,91722,406
Rego Park/Forest Hills,Families,2023,Dollars,124520,406
Rego Park/Forest Hills,Families with Children,2023,Dollars,141753,406
Rego Park/Forest Hills,Families without Children,2023,Dollars,114162,406
Ridgewood/Glendale,All Households,2023,Dollars,83966,405
Ridgewood/Glendale,Families,2023,Dollars,91263,405
Ridgewood/Glendale,Families with Children,2023,Dollars,80568,405
Ridgewood/Glendale,Families without Children,2023,Dollars,95545,405
Riverdale,All Households,2023,Dollars,75218,208
Riverdale,Families,2023,Dollars,95015,208
Riverdale,Families with Children,2023,Dollars,101985,208
Riverdale,Families without Children,2023,Dollars,92560,208
Sheepshead Bay,All Households,2023,Dollars,68903,315
Sheepshead Bay,Families,2023,Dollars,87859,315
Sheepshead Bay,Families with Children,2023,Dollars,81236,315
Sheepshead Bay,Families without Children,2023,Dollars,90314,315
South Beach,All Households,2023,Dollars,96471,502
South Beach,Families,2023,Dollars,114760,502
South Beach,Families with Children,2023,Dollars,96392,502
South Beach,Families without Children,2023,Dollars,121488,502
St. George,All Households,2023,Dollars,72834,501
St. George,Families,2023,Dollars,94765,501
St. George,Families with Children,2023,Dollars,79529,501
St. George,Families without Children,2023,Dollars,103909,501
Staten Island,All Households,2023,Dollars,95543,36085
Staten Island,Families,2023,Dollars,113189,36085
Staten Island,Families with Children,2023,Dollars,113406,36085
Staten Island,Families without Children,2023,Dollars,113125,36085
Sunnyside/Woodside,All Households,2023,Dollars,93817,402
Sunnyside/Woodside,Families,2023,Dollars,111326,402
Sunnyside/Woodside,Families with Children,2023,Dollars,76765,402
Sunnyside/Woodside,Families without Children,2023,Dollars,119374,402
Sunset Park,All Households,2023,Dollars,87149,307
Sunset Park,Families,2023,Dollars,96672,307
Sunset Park,Families with Children,2023,Dollars,98306,307
Sunset Park,Families without Children,2023,Dollars,96165,307
The Rockaways,All Households,2023,Dollars,52797,414
The Rockaways,Families,2023,Dollars,87836,414
The Rockaways,Families with Children,2023,Dollars,59516,414
The Rockaways,Families without Children,2023,Dollars,100542,414
Throgs Neck,All Households,2023,Dollars,71021,210
Throgs Neck,Families,2023,Dollars,90254,210
Throgs Neck,Families with Children,2023,Dollars,86241,210
Throgs Neck,Families without Children,2023,Dollars,97506,210
Tottenville,All Households,2023,Dollars,112515,503
Tottenville,Families,2023,Dollars,128642,503
Tottenville,Families with Children,2023,Dollars,148750,503
Tottenville,Families without Children,2023,Dollars,113269,503
Unionport/Soundview,All Households,2023,Dollars,45603,209
Unionport/Soundview,Families,2023,Dollars,54491,209
Unionport/Soundview,Families with Children,2023,Dollars,42320,209
Unionport/Soundview,Families without Children,2023,Dollars,65491,209
University Heights,All Households,2023,Dollars,34756,205
University Heights,Families,2023,Dollars,46599,205
University Heights,Families with Children,2023,Dollars,40514,205
University Heights,Families without Children,2023,Dollars,51468,205
Upper East Side,All Households,2023,Dollars,159241,108
Upper East Side,Families,2023,Dollars,250000,108
Upper East Side,Families with Children,2023,Dollars,250000,108
Upper East Side,Families without Children,2023,Dollars,250000,108
Upper West Side,All Households,2023,Dollars,150017,107
Upper West Side,Families,2023,Dollars,232609,107
Upper West Side,Families with Children,2023,Dollars,250000,107
Upper West Side,Families without Children,2023,Dollars,248914,107
Washington Heights,All Households,2023,Dollars,61527,112
Washington Heights,Families,2023,Dollars,68504,112
Washington Heights,Families with Children,2023,Dollars,76649,112
Washington Heights,Families without Children,2023,Dollars,63839,112
Williamsbridge,All Households,2023,Dollars,67973,212
Williamsbridge,Families,2023,Dollars,75678,212
Williamsbridge,Families with Children,2023,Dollars,62352,212
Williamsbridge,Families without Children,2023,Dollars,88658,212
Williamsburg/Greenpoint,All Households,2023,Dollars,111492,301
Williamsburg/Greenpoint,Families,2023,Dollars,101739,301
Williamsburg/Greenpoint,Families with Children,2023,Dollars,152567,301
Williamsburg/Greenpoint,Families without Children,2023,Dollars,94261,301
Woodhaven,All Households,2023,Dollars,99326,409
Woodhaven,Families,2023,Dollars,100975,409
Woodhaven,Families with Children,2023,Dollars,85931,409
Woodhaven,Families without Children,2023,Dollars,109273,409
Astoria,All Households,2022,Dollars,84270.09543,401
Astoria,Families,2022,Dollars,91677.8736,401
Astoria,Families with Children,2022,Dollars,93595.48625,401
Astoria,Families without Children,2022,Dollars,91485.80086,401
Battery Park/Tribeca,All Households,2022,Dollars,165381.89216,101
Battery Park/Tribeca,Families,2022,Dollars,241685.64114,101
Battery Park/Tribeca,Families with Children,2022,Dollars,259557.74954,101
Battery Park/Tribeca,Families without Children,2022,Dollars,205863.55701,101
Bay Ridge,All Households,2022,Dollars,84413.37131,310
Bay Ridge,Families,2022,Dollars,101433.09206,310
Bay Ridge,Families with Children,2022,Dollars,97866.76858,310
Bay Ridge,Families without Children,2022,Dollars,103408.84565,310
Bayside,All Households,2022,Dollars,103064.15296,411
Bayside,Families,2022,Dollars,117142.56529,411
Bayside,Families with Children,2022,Dollars,126935.16007,411
Bayside,Families without Children,2022,Dollars,113002.10007,411
Bedford Park,All Households,2022,Dollars,43215.32707,207
Bedford Park,Families,2022,Dollars,52616.50876,207
Bedford Park,Families with Children,2022,Dollars,42991.06917,207
Bedford Park,Families without Children,2022,Dollars,66568.25691,207
Bedford Stuyvesant,All Households,2022,Dollars,73842.10328,303
Bedford Stuyvesant,Families,2022,Dollars,73435.11673,303
Bedford Stuyvesant,Families with Children,2022,Dollars,86397.43074,303
Bedford Stuyvesant,Families without Children,2022,Dollars,68750.61847,303
Bensonhurst,All Households,2022,Dollars,61477.81032,311
Bensonhurst,Families,2022,Dollars,70808.39231,311
Bensonhurst,Families with Children,2022,Dollars,70126.27454,311
Bensonhurst,Families without Children,2022,Dollars,71116.74691,311
Borough Park,All Households,2022,Dollars,68586.57797,312
Borough Park,Families,2022,Dollars,73853.52382,312
Borough Park,Families with Children,2022,Dollars,69858.41094,312
Borough Park,Families without Children,2022,Dollars,76695.16206,312
Bronx,All Households,2022,Dollars,47257.16034,36005
Bronx,Families,2022,Dollars,56669.76257,36005
Bronx,Families with Children,2022,Dollars,46047.62123,36005
Bronx,Families without Children,2022,Dollars,64727.47335,36005
Brooklyn,All Households,2022,Dollars,76778.22054,36047
Brooklyn,Families,2022,Dollars,86106.72606,36047
Brooklyn,Families with Children,2022,Dollars,78624.19526,36047
Brooklyn,Families without Children,2022,Dollars,90046.8127,36047
Brownsville,All Households,2022,Dollars,36785.5625,316
Brownsville,Families,2022,Dollars,52236.51621,316
Brownsville,Families with Children,2022,Dollars,37054.46432,316
Brownsville,Families without Children,2022,Dollars,62392.49183,316
Bushwick,All Households,2022,Dollars,94226.7307,304
Bushwick,Families,2022,Dollars,94552.73523,304
Bushwick,Families with Children,2022,Dollars,84832.81663,304
Bushwick,Families without Children,2022,Dollars,97464.97318,304
Canarsie,All Households,2022,Dollars,87493.80268,318
Canarsie,Families,2022,Dollars,97458.7438,318
Canarsie,Families with Children,2022,Dollars,114670.53728,318
Canarsie,Families without Children,2022,Dollars,93112.70884,318
Central Harlem,All Households,2022,Dollars,51993.57016,110
Central Harlem,Families,2022,Dollars,67307.47738,110
