Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Manhattan,Hispanic or Latino,2011,Number,407066,36061
Queens,Hispanic or Latino,2011,Number,603315,36081
Staten Island,Hispanic or Latino,2011,Number,78238,36085
New York City,Hispanic or Latino,2011,Number,2310163,3651000
Riverdale,White,2011,Number,38360,208
Williamsbridge,White,2011,Number,10169,212
Throgs Neck,White,2011,Number,44363,210
Pelham Parkway,White,2011,Number,33186,211
Morrisania,White,2011,Number,3210.44129,203
East Tremont,White,2011,Number,3351.55871,206
Bedford Park,White,2011,Number,10082,207
University Heights,White,2011,Number,1822,205
Concourse/Highbridge,White,2011,Number,1788,204
Unionport/Soundview,White,2011,Number,4839,209
Mott Haven,White,2011,Number,1953.5163,201
Hunts Point,White,2011,Number,1115.4837,202
Washington Heights,White,2011,Number,34841,112
Manhattanville,White,2011,Number,34854,109
Central Harlem,White,2011,Number,13430,110
East Harlem,White,2011,Number,14701,111
Upper East Side,White,2011,Number,172330,108
Upper West Side,White,2011,Number,137284,107
Chelsea/Clinton,White,2011,Number,58748.84287,104
Midtown Business District,White,2011,Number,29403.15713,105
Murray Hill/Stuyvesant,White,2011,Number,106757,106
Lower East Side,White,2011,Number,53130,103
Battery Park/Tribeca,White,2011,Number,41774.82055,101
Greenwich Village,White,2011,Number,61668.17945,102
Tottenville,White,2011,Number,135899,503
South Beach,White,2011,Number,95291,502
St. George,White,2011,Number,70409,501
Williamsburg/Greenpoint,White,2011,Number,90854,301
Bushwick,White,2011,Number,11543,304
Bedford Stuyvesant,White,2011,Number,19136,303
Fort Greene/Brooklyn Hts,White,2011,Number,52299,302
Park Slope,White,2011,Number,71058,306
Crown Heights North,White,2011,Number,20375,308
Brownsville,White,2011,Number,961,316
East New York,White,2011,Number,7768,305
Canarsie,White,2011,Number,53079,318
East Flatbush,White,2011,Number,1882,317
Crown Heights South,White,2011,Number,15831,309
Sunset Park,White,2011,Number,33669,307
Bay Ridge,White,2011,Number,78682,310
Borough Park,White,2011,Number,118499,312
Flatbush/Midwood,White,2011,Number,63651,314
Sheepshead Bay,White,2011,Number,100381,315
Bensonhurst,White,2011,Number,85338,311
Coney Island,White,2011,Number,61849,313
Astoria,White,2011,Number,82236,401
Jackson Heights,White,2011,Number,18719,403
Flushing,White,2011,Number,76745,407
Bayside,White,2011,Number,57704,411
Queens Village,White,2011,Number,26599,413
Fresh Meadows/Briarwood,White,2011,Number,51337,408
Elmhurst/Corona,White,2011,Number,11059,404
Rego Park/Forest Hills,White,2011,Number,61253,406
Sunnyside/Woodside,White,2011,Number,35477,402
Ridgewood/Glendale,White,2011,Number,93594,405
Woodhaven,White,2011,Number,28471,409
Jamaica/St. Albans,White,2011,Number,3970,412
Howard Beach,White,2011,Number,33688,410
The Rockaways,White,2011,Number,41832,414
Bronx,White,2011,Number,154240,36005
Brooklyn,White,2011,Number,886855,36047
Manhattan,White,2011,Number,758922,36061
Queens,White,2011,Number,622684,36081
Staten Island,White,2011,Number,301599,36085
New York City,White,2011,Number,2724300,3651000
Riverdale,Combination or Another Race,2011,Number,2054,208
Williamsbridge,Combination or Another Race,2011,Number,2930,212
Throgs Neck,Combination or Another Race,2011,Number,1778,210
Pelham Parkway,Combination or Another Race,2011,Number,2537,211
Morrisania,Combination or Another Race,2011,Number,737.78505,203
East Tremont,Combination or Another Race,2011,Number,770.21495,206
Bedford Park,Combination or Another Race,2011,Number,2802,207
University Heights,Combination or Another Race,2011,Number,1623,205
Concourse/Highbridge,Combination or Another Race,2011,Number,1521,204
Unionport/Soundview,Combination or Another Race,2011,Number,4748,209
Mott Haven,Combination or Another Race,2011,Number,1079.55805,201
Hunts Point,Combination or Another Race,2011,Number,616.44196,202
Washington Heights,Combination or Another Race,2011,Number,3652,112
Manhattanville,Combination or Another Race,2011,Number,3756,109
Central Harlem,Combination or Another Race,2011,Number,3593,110
East Harlem,Combination or Another Race,2011,Number,2150,111
Upper East Side,Combination or Another Race,2011,Number,3858,108
Upper West Side,Combination or Another Race,2011,Number,4456,107
Chelsea/Clinton,Combination or Another Race,2011,Number,2440.53751,104
Midtown Business District,Combination or Another Race,2011,Number,1221.46249,105
Murray Hill/Stuyvesant,Combination or Another Race,2011,Number,3121,106
Lower East Side,Combination or Another Race,2011,Number,3950,103
Battery Park/Tribeca,Combination or Another Race,2011,Number,1830.62422,101
Greenwich Village,Combination or Another Race,2011,Number,2702.37578,102
Tottenville,Combination or Another Race,2011,Number,1101,503
South Beach,Combination or Another Race,2011,Number,886,502
St. George,Combination or Another Race,2011,Number,3920,501
Williamsburg/Greenpoint,Combination or Another Race,2011,Number,1912,301
Bushwick,Combination or Another Race,2011,Number,1178,304
Bedford Stuyvesant,Combination or Another Race,2011,Number,1893,303
Fort Greene/Brooklyn Hts,Combination or Another Race,2011,Number,4216,302
Park Slope,Combination or Another Race,2011,Number,3016,306
Crown Heights North,Combination or Another Race,2011,Number,2622,308
Brownsville,Combination or Another Race,2011,Number,1424,316
East New York,Combination or Another Race,2011,Number,2472,305
Canarsie,Combination or Another Race,2011,Number,3004,318
East Flatbush,Combination or Another Race,2011,Number,2422,317
Crown Heights South,Combination or Another Race,2011,Number,1480,309
Sunset Park,Combination or Another Race,2011,Number,2200,307
Bay Ridge,Combination or Another Race,2011,Number,1964,310
Borough Park,Combination or Another Race,2011,Number,1160,312
Flatbush/Midwood,Combination or Another Race,2011,Number,2776,314
Sheepshead Bay,Combination or Another Race,2011,Number,1364,315
Bensonhurst,Combination or Another Race,2011,Number,1436,311
Coney Island,Combination or Another Race,2011,Number,1108,313
Astoria,Combination or Another Race,2011,Number,3860,401
Jackson Heights,Combination or Another Race,2011,Number,3504,403
Flushing,Combination or Another Race,2011,Number,4710,407
Bayside,Combination or Another Race,2011,Number,2117,411
Queens Village,Combination or Another Race,2011,Number,7196,413
Fresh Meadows/Briarwood,Combination or Another Race,2011,Number,4655,408
Elmhurst/Corona,Combination or Another Race,2011,Number,1548,404
Rego Park/Forest Hills,Combination or Another Race,2011,Number,2782,406
Sunnyside/Woodside,Combination or Another Race,2011,Number,2205,402
Ridgewood/Glendale,Combination or Another Race,2011,Number,1176,405
Woodhaven,Combination or Another Race,2011,Number,10253,409
Jamaica/St. Albans,Combination or Another Race,2011,Number,11262,412
Howard Beach,Combination or Another Race,2011,Number,17508,410
The Rockaways,Combination or Another Race,2011,Number,1881,414
Bronx,Combination or Another Race,2011,Number,23197,36005
Brooklyn,Combination or Another Race,2011,Number,37647,36047
Manhattan,Combination or Another Race,2011,Number,36731,36061
Queens,Combination or Another Race,2011,Number,74657,36081
Staten Island,Combination or Another Race,2011,Number,5907,36085
New York City,Combination or Another Race,2011,Number,178139,3651000
Riverdale,Native American,2011,Number,75,208
Williamsbridge,Native American,2011,Number,676,212
Throgs Neck,Native American,2011,Number,296,210
Pelham Parkway,Native American,2011,Number,175,211
Morrisania,Native American,2011,Number,163.89787,203
East Tremont,Native American,2011,Number,171.10213,206
Bedford Park,Native American,2011,Number,116,207
University Heights,Native American,2011,Number,176,205
Concourse/Highbridge,Native American,2011,Number,461,204
Unionport/Soundview,Native American,2011,Number,373,209
Mott Haven,Native American,2011,Number,189.6865,201
Hunts Point,Native American,2011,Number,108.3135,202
Washington Heights,Native American,2011,Number,184,112
Manhattanville,Native American,2011,Number,98,109
Central Harlem,Native American,2011,Number,156,110
East Harlem,Native American,2011,Number,30,111
Upper East Side,Native American,2011,Number,158,108
Upper West Side,Native American,2011,Number,237,107
Chelsea/Clinton,Native American,2011,Number,221.92763,104
Midtown Business District,Native American,2011,Number,111.07237,105
Murray Hill/Stuyvesant,Native American,2011,Number,160,106
Lower East Side,Native American,2011,Number,332,103
Battery Park/Tribeca,Native American,2011,Number,39.5767,101
Greenwich Village,Native American,2011,Number,58.4233,102
Tottenville,Native American,2011,Number,102,503
South Beach,Native American,2011,Number,172,502
St. George,Native American,2011,Number,214,501
Williamsburg/Greenpoint,Native American,2011,Number,275,301
Bushwick,Native American,2011,Number,266,304
Bedford Stuyvesant,Native American,2011,Number,286,303
Fort Greene/Brooklyn Hts,Native American,2011,Number,145,302
Park Slope,Native American,2011,Number,368,306
Crown Heights North,Native American,2011,Number,140,308
Brownsville,Native American,2011,Number,247,316
East New York,Native American,2011,Number,197,305
Canarsie,Native American,2011,Number,268,318
East Flatbush,Native American,2011,Number,205,317
Crown Heights South,Native American,2011,Number,145,309
Sunset Park,Native American,2011,Number,596,307
Bay Ridge,Native American,2011,Number,135,310
Borough Park,Native American,2011,Number,76,312
Flatbush/Midwood,Native American,2011,Number,207,314
Sheepshead Bay,Native American,2011,Number,77,315
Bensonhurst,Native American,2011,Number,145,311
Coney Island,Native American,2011,Number,149,313
Astoria,Native American,2011,Number,331,401
Jackson Heights,Native American,2011,Number,215,403
Flushing,Native American,2011,Number,1166,407
Bayside,Native American,2011,Number,270,411
Queens Village,Native American,2011,Number,540,413
Fresh Meadows/Briarwood,Native American,2011,Number,267,408
Elmhurst/Corona,Native American,2011,Number,91,404
Rego Park/Forest Hills,Native American,2011,Number,426,406
Sunnyside/Woodside,Native American,2011,Number,209,402
Ridgewood/Glendale,Native American,2011,Number,212,405
Woodhaven,Native American,2011,Number,450,409
Jamaica/St. Albans,Native American,2011,Number,902,412
Howard Beach,Native American,2011,Number,847,410
The Rockaways,Native American,2011,Number,25,414
Bronx,Native American,2011,Number,2981,36005
Brooklyn,Native American,2011,Number,3927,36047
Manhattan,Native American,2011,Number,1786,36061
Queens,Native American,2011,Number,5951,36081
Staten Island,Native American,2011,Number,488,36085
New York City,Native American,2011,Number,15133,3651000
Riverdale,Asian and Pacific Islander,2011,Percent,0.04598,208
Williamsbridge,Asian and Pacific Islander,2011,Percent,0.02368,212
Throgs Neck,Asian and Pacific Islander,2011,Percent,0.02061,210
Pelham Parkway,Asian and Pacific Islander,2011,Percent,0.09299,211
Morrisania,Asian and Pacific Islander,2011,Percent,0.01023,203
East Tremont,Asian and Pacific Islander,2011,Percent,0.01023,206
Bedford Park,Asian and Pacific Islander,2011,Percent,0.05325,207
University Heights,Asian and Pacific Islander,2011,Percent,0.01529,205
Concourse/Highbridge,Asian and Pacific Islander,2011,Percent,0.01585,204
Unionport/Soundview,Asian and Pacific Islander,2011,Percent,0.0659,209
Mott Haven,Asian and Pacific Islander,2011,Percent,0.00698,201
Hunts Point,Asian and Pacific Islander,2011,Percent,0.00698,202
Washington Heights,Asian and Pacific Islander,2011,Percent,0.02352,112
Manhattanville,Asian and Pacific Islander,2011,Percent,0.07346,109
Central Harlem,Asian and Pacific Islander,2011,Percent,0.03068,110
East Harlem,Asian and Pacific Islander,2011,Percent,0.06389,111
Upper East Side,Asian and Pacific Islander,2011,Percent,0.08376,108
Upper West Side,Asian and Pacific Islander,2011,Percent,0.07571,107
Chelsea/Clinton,Asian and Pacific Islander,2011,Percent,0.13626,104
Midtown Business District,Asian and Pacific Islander,2011,Percent,0.13626,105
Murray Hill/Stuyvesant,Asian and Pacific Islander,2011,Percent,0.13182,106
Lower East Side,Asian and Pacific Islander,2011,Percent,0.34579,103
Battery Park/Tribeca,Asian and Pacific Islander,2011,Percent,0.15144,101
Greenwich Village,Asian and Pacific Islander,2011,Percent,0.15144,102
Tottenville,Asian and Pacific Islander,2011,Percent,0.03977,503
South Beach,Asian and Pacific Islander,2011,Percent,0.11425,502
St. George,Asian and Pacific Islander,2011,Percent,0.08096,501
Williamsburg/Greenpoint,Asian and Pacific Islander,2011,Percent,0.05441,301
Bushwick,Asian and Pacific Islander,2011,Percent,0.03675,304
Bedford Stuyvesant,Asian and Pacific Islander,2011,Percent,0.02888,303
Fort Greene/Brooklyn Hts,Asian and Pacific Islander,2011,Percent,0.06927,302
Park Slope,Asian and Pacific Islander,2011,Percent,0.0613,306
Crown Heights North,Asian and Pacific Islander,2011,Percent,0.03039,308
Brownsville,Asian and Pacific Islander,2011,Percent,0.00715,316
East New York,Asian and Pacific Islander,2011,Percent,0.03991,305
Canarsie,Asian and Pacific Islander,2011,Percent,0.03527,318
East Flatbush,Asian and Pacific Islander,2011,Percent,0.01523,317
Crown Heights South,Asian and Pacific Islander,2011,Percent,0.01535,309
Sunset Park,Asian and Pacific Islander,2011,Percent,0.29394,307
Bay Ridge,Asian and Pacific Islander,2011,Percent,0.22343,310
Borough Park,Asian and Pacific Islander,2011,Percent,0.13246,312
Flatbush/Midwood,Asian and Pacific Islander,2011,Percent,0.08818,314
Sheepshead Bay,Asian and Pacific Islander,2011,Percent,0.16279,315
Bensonhurst,Asian and Pacific Islander,2011,Percent,0.36054,311
Coney Island,Asian and Pacific Islander,2011,Percent,0.12569,313
Astoria,Asian and Pacific Islander,2011,Percent,0.13561,401
Jackson Heights,Asian and Pacific Islander,2011,Percent,0.1787,403
Flushing,Asian and Pacific Islander,2011,Percent,0.47488,407
Bayside,Asian and Pacific Islander,2011,Percent,0.3629,411
Queens Village,Asian and Pacific Islander,2011,Percent,0.15284,413
Fresh Meadows/Briarwood,Asian and Pacific Islander,2011,Percent,0.32267,408
Elmhurst/Corona,Asian and Pacific Islander,2011,Percent,0.33321,404
Rego Park/Forest Hills,Asian and Pacific Islander,2011,Percent,0.2693,406
Sunnyside/Woodside,Asian and Pacific Islander,2011,Percent,0.36081,402
Ridgewood/Glendale,Asian and Pacific Islander,2011,Percent,0.07236,405
Woodhaven,Asian and Pacific Islander,2011,Percent,0.23306,409
Jamaica/St. Albans,Asian and Pacific Islander,2011,Percent,0.10466,412
Howard Beach,Asian and Pacific Islander,2011,Percent,0.18922,410
The Rockaways,Asian and Pacific Islander,2011,Percent,0.01711,414
Bronx,Asian and Pacific Islander,2011,Percent,0.03467,36005
Brooklyn,Asian and Pacific Islander,2011,Percent,0.10381,36047
Manhattan,Asian and Pacific Islander,2011,Percent,0.11049,36061
Queens,Asian and Pacific Islander,2011,Percent,0.23066,36081
Staten Island,Asian and Pacific Islander,2011,Percent,0.07617,36085
New York City,Asian and Pacific Islander,2011,Percent,0.12639,3651000
Riverdale,Black,2011,Percent,0.12281,208
Williamsbridge,Black,2011,Percent,0.67832,212
Throgs Neck,Black,2011,Percent,0.2505,210
Pelham Parkway,Black,2011,Percent,0.21085,211
Morrisania,Black,2011,Percent,0.31229,203
East Tremont,Black,2011,Percent,0.31229,206
Bedford Park,Black,2011,Percent,0.18807,207
University Heights,Black,2011,Percent,0.296,205
Concourse/Highbridge,Black,2011,Percent,0.33284,204
Unionport/Soundview,Black,2011,Percent,0.29566,209
Mott Haven,Black,2011,Percent,0.26681,201
Hunts Point,Black,2011,Percent,0.26681,202
Washington Heights,Black,2011,Percent,0.08667,112
Manhattanville,Black,2011,Percent,0.23485,109
Central Harlem,Black,2011,Percent,0.62227,110
East Harlem,Black,2011,Percent,0.31117,111
Upper East Side,Black,2011,Percent,0.02832,108
Upper West Side,Black,2011,Percent,0.06661,107
Chelsea/Clinton,Black,2011,Percent,0.05448,104
Midtown Business District,Black,2011,Percent,0.05448,105
Murray Hill/Stuyvesant,Black,2011,Percent,0.03137,106
Lower East Side,Black,2011,Percent,0.06811,103
Battery Park/Tribeca,Black,2011,Percent,0.02323,101
Greenwich Village,Black,2011,Percent,0.02323,102
Tottenville,Black,2011,Percent,0.01282,503
South Beach,Black,2011,Percent,0.02968,502
St. George,Black,2011,Percent,0.22146,501
Williamsburg/Greenpoint,Black,2011,Percent,0.0383,301
Bushwick,Black,2011,Percent,0.18531,304
Bedford Stuyvesant,Black,2011,Percent,0.61474,303
Fort Greene/Brooklyn Hts,Black,2011,Percent,0.28758,302
Park Slope,Black,2011,Percent,0.08704,306
Crown Heights North,Black,2011,Percent,0.66367,308
Brownsville,Black,2011,Percent,0.74331,316
East New York,Black,2011,Percent,0.5042,305
Canarsie,Black,2011,Percent,0.60945,318
East Flatbush,Black,2011,Percent,0.88786,317
Crown Heights South,Black,2011,Percent,0.74203,309
Sunset Park,Black,2011,Percent,0.03432,307
Bay Ridge,Black,2011,Percent,0.0106,310
Borough Park,Black,2011,Percent,0.02183,312
Flatbush/Midwood,Black,2011,Percent,0.34397,314
Sheepshead Bay,Black,2011,Percent,0.03378,315
Bensonhurst,Black,2011,Percent,0.00888,311
Coney Island,Black,2011,Percent,0.12472,313
Astoria,Black,2011,Percent,0.06219,401
Jackson Heights,Black,2011,Percent,0.05739,403
Flushing,Black,2011,Percent,0.02136,407
Bayside,Black,2011,Percent,0.01617,411
Queens Village,Black,2011,Percent,0.56971,413
Fresh Meadows/Briarwood,Black,2011,Percent,0.12672,408
Elmhurst/Corona,Black,2011,Percent,0.06691,404
Rego Park/Forest Hills,Black,2011,Percent,0.02458,406
Sunnyside/Woodside,Black,2011,Percent,0.01606,402
Ridgewood/Glendale,Black,2011,Percent,0.01226,405
Woodhaven,Black,2011,Percent,0.08156,409
Jamaica/St. Albans,Black,2011,Percent,0.65379,412
Howard Beach,Black,2011,Percent,0.16625,410
The Rockaways,Black,2011,Percent,0.37855,414
Bronx,Black,2011,Percent,0.30371,36005
Brooklyn,Black,2011,Percent,0.32465,36047
Manhattan,Black,2011,Percent,0.13113,36061
Queens,Black,2011,Percent,0.17918,36081
Staten Island,Black,2011,Percent,0.09506,36085
New York City,Black,2011,Percent,0.23052,3651000
Riverdale,Hispanic or Latino,2011,Percent,0.45124,208
Williamsbridge,Hispanic or Latino,2011,Percent,0.20261,212
Throgs Neck,Hispanic or Latino,2011,Percent,0.32783,210
Pelham Parkway,Hispanic or Latino,2011,Percent,0.41121,211
Morrisania,Hispanic or Latino,2011,Percent,0.62304,203
East Tremont,Hispanic or Latino,2011,Percent,0.62304,206
Bedford Park,Hispanic or Latino,2011,Percent,0.65298,207
University Heights,Hispanic or Latino,2011,Percent,0.66142,205
Concourse/Highbridge,Hispanic or Latino,2011,Percent,0.62425,204
Unionport/Soundview,Hispanic or Latino,2011,Percent,0.58282,209
Mott Haven,Hispanic or Latino,2011,Percent,0.69321,201
Hunts Point,Hispanic or Latino,2011,Percent,0.69321,202
Washington Heights,Hispanic or Latino,2011,Percent,0.70729,112
Manhattanville,Hispanic or Latino,2011,Percent,0.38922,109
Central Harlem,Hispanic or Latino,2011,Percent,0.20657,110
East Harlem,Hispanic or Latino,2011,Percent,0.48636,111
Upper East Side,Hispanic or Latino,2011,Percent,0.07239,108
Upper West Side,Hispanic or Latino,2011,Percent,0.13264,107
Chelsea/Clinton,Hispanic or Latino,2011,Percent,0.14979,104
Midtown Business District,Hispanic or Latino,2011,Percent,0.14979,105
Murray Hill/Stuyvesant,Hispanic or Latino,2011,Percent,0.08367,106
Lower East Side,Hispanic or Latino,2011,Percent,0.23662,103
Battery Park/Tribeca,Hispanic or Latino,2011,Percent,0.06491,101
Greenwich Village,Hispanic or Latino,2011,Percent,0.06491,102
Tottenville,Hispanic or Latino,2011,Percent,0.09525,503
South Beach,Hispanic or Latino,2011,Percent,0.12684,502
St. George,Hispanic or Latino,2011,Percent,0.26676,501
Williamsburg/Greenpoint,Hispanic or Latino,2011,Percent,0.25815,301
Bushwick,Hispanic or Latino,2011,Percent,0.67899,304
Bedford Stuyvesant,Hispanic or Latino,2011,Percent,0.19265,303
Fort Greene/Brooklyn Hts,Hispanic or Latino,2011,Percent,0.16773,302
Park Slope,Hispanic or Latino,2011,Percent,0.19095,306
Crown Heights North,Hispanic or Latino,2011,Percent,0.11614,308
Brownsville,Hispanic or Latino,2011,Percent,0.22658,316
East New York,Hispanic or Latino,2011,Percent,0.38641,305
Canarsie,Hispanic or Latino,2011,Percent,0.07739,318
East Flatbush,Hispanic or Latino,2011,Percent,0.06429,317
Crown Heights South,Hispanic or Latino,2011,Percent,0.08321,309
Sunset Park,Hispanic or Latino,2011,Percent,0.42331,307
Bay Ridge,Hispanic or Latino,2011,Percent,0.13077,310
Borough Park,Hispanic or Latino,2011,Percent,0.1126,312
Flatbush/Midwood,Hispanic or Latino,2011,Percent,0.14799,314
Sheepshead Bay,Hispanic or Latino,2011,Percent,0.07633,315
Bensonhurst,Hispanic or Latino,2011,Percent,0.12506,311
Coney Island,Hispanic or Latino,2011,Percent,0.14481,313
Astoria,Hispanic or Latino,2011,Percent,0.28923,401
Jackson Heights,Hispanic or Latino,2011,Percent,0.63713,403
Flushing,Hispanic or Latino,2011,Percent,0.16529,407
Bayside,Hispanic or Latino,2011,Percent,0.11176,411
Queens Village,Hispanic or Latino,2011,Percent,0.10609,413
Fresh Meadows/Briarwood,Hispanic or Latino,2011,Percent,0.17557,408
Elmhurst/Corona,Hispanic or Latino,2011,Percent,0.50796,404
Rego Park/Forest Hills,Hispanic or Latino,2011,Percent,0.1304,406
Sunnyside/Woodside,Hispanic or Latino,2011,Percent,0.33167,402
Ridgewood/Glendale,Hispanic or Latino,2011,Percent,0.35507,405
Woodhaven,Hispanic or Latino,2011,Percent,0.41469,409
Jamaica/St. Albans,Hispanic or Latino,2011,Percent,0.16809,412
Howard Beach,Hispanic or Latino,2011,Percent,0.24114,410
The Rockaways,Hispanic or Latino,2011,Percent,0.21737,414
Bronx,Hispanic or Latino,2011,Percent,0.53037,36005
Brooklyn,Hispanic or Latino,2011,Percent,0.1981,36047
Manhattan,Hispanic or Latino,2011,Percent,0.2563,36061
Queens,Hispanic or Latino,2011,Percent,0.2725,36081
Staten Island,Hispanic or Latino,2011,Percent,0.16788,36085
New York City,Hispanic or Latino,2011,Percent,0.28419,3651000
Riverdale,White,2011,Percent,0.35999,208
Williamsbridge,White,2011,Percent,0.07042,212
Throgs Neck,White,2011,Percent,0.38315,210
Pelham Parkway,White,2011,Percent,0.26343,211
Morrisania,White,2011,Percent,0.0425,203
East Tremont,White,2011,Percent,0.0425,206
Bedford Park,White,2011,Percent,0.08198,207
University Heights,White,2011,Percent,0.01373,205
Concourse/Highbridge,White,2011,Percent,0.01283,204
Unionport/Soundview,White,2011,Percent,0.02702,209
Mott Haven,White,2011,Percent,0.02001,201
Hunts Point,White,2011,Percent,0.02001,202
Washington Heights,White,2011,Percent,0.16442,112
Manhattanville,White,2011,Percent,0.27235,109
Central Harlem,White,2011,Percent,0.10982,110
East Harlem,White,2011,Percent,0.12069,111
Upper East Side,White,2011,Percent,0.79696,108
Upper West Side,White,2011,Percent,0.70108,107
Chelsea/Clinton,White,2011,Percent,0.63088,104
Midtown Business District,White,2011,Percent,0.63088,105
Murray Hill/Stuyvesant,White,2011,Percent,0.73069,106
Lower East Side,White,2011,Percent,0.32342,103
Battery Park/Tribeca,White,2011,Percent,0.72784,101
Greenwich Village,White,2011,Percent,0.72784,102
Tottenville,White,2011,Percent,0.84469,503
South Beach,White,2011,Percent,0.72122,502
St. George,White,2011,Percent,0.40693,501
Williamsburg/Greenpoint,White,2011,Percent,0.63388,301
Bushwick,White,2011,Percent,0.08795,304
Bedford Stuyvesant,White,2011,Percent,0.147,303
Fort Greene/Brooklyn Hts,White,2011,Percent,0.43884,302
Park Slope,White,2011,Percent,0.63068,306
Crown Heights North,White,2011,Percent,0.16715,308
Brownsville,White,2011,Percent,0.00839,316
East New York,White,2011,Percent,0.05171,305
Canarsie,White,2011,Percent,0.26176,318
East Flatbush,White,2011,Percent,0.01362,317
Crown Heights South,White,2011,Percent,0.14457,309
Sunset Park,White,2011,Percent,0.22938,307
Bay Ridge,White,2011,Percent,0.6187,310
Borough Park,White,2011,Percent,0.72555,312
Flatbush/Midwood,White,2011,Percent,0.40107,314
Sheepshead Bay,White,2011,Percent,0.71681,315
Bensonhurst,White,2011,Percent,0.49633,311
Coney Island,White,2011,Percent,0.59274,313
Astoria,White,2011,Percent,0.4881,401
Jackson Heights,White,2011,Percent,0.10577,403
Flushing,White,2011,Percent,0.3144,407
Bayside,White,2011,Percent,0.48895,411
Queens Village,White,2011,Percent,0.13275,413
Fresh Meadows/Briarwood,White,2011,Percent,0.34223,408
Elmhurst/Corona,White,2011,Percent,0.08005,404
Rego Park/Forest Hills,White,2011,Percent,0.54707,406
Sunnyside/Woodside,White,2011,Percent,0.27289,402
Ridgewood/Glendale,White,2011,Percent,0.55213,405
Woodhaven,White,2011,Percent,0.19673,409
Jamaica/St. Albans,White,2011,Percent,0.01808,412
Howard Beach,White,2011,Percent,0.26112,410
The Rockaways,White,2011,Percent,0.37011,414
Bronx,White,2011,Percent,0.11221,36005
Brooklyn,White,2011,Percent,0.35672,36047
Manhattan,White,2011,Percent,0.47783,36061
Queens,White,2011,Percent,0.28125,36081
Staten Island,White,2011,Percent,0.64716,36085
New York City,White,2011,Percent,0.33513,3651000
Riverdale,Combination or Another Race,2011,Percent,0.01928,208
Williamsbridge,Combination or Another Race,2011,Percent,0.02029,212
Throgs Neck,Combination or Another Race,2011,Percent,0.01536,210
Pelham Parkway,Combination or Another Race,2011,Percent,0.02014,211
Morrisania,Combination or Another Race,2011,Percent,0.00977,203
East Tremont,Combination or Another Race,2011,Percent,0.00977,206
Bedford Park,Combination or Another Race,2011,Percent,0.02279,207
University Heights,Combination or Another Race,2011,Percent,0.01223,205
Concourse/Highbridge,Combination or Another Race,2011,Percent,0.01092,204
Unionport/Soundview,Combination or Another Race,2011,Percent,0.02652,209
Mott Haven,Combination or Another Race,2011,Percent,0.01106,201
Hunts Point,Combination or Another Race,2011,Percent,0.01106,202
Washington Heights,Combination or Another Race,2011,Percent,0.01723,112
Manhattanville,Combination or Another Race,2011,Percent,0.02935,109
Central Harlem,Combination or Another Race,2011,Percent,0.02938,110
East Harlem,Combination or Another Race,2011,Percent,0.01765,111
Upper East Side,Combination or Another Race,2011,Percent,0.01784,108
Upper West Side,Combination or Another Race,2011,Percent,0.02276,107
Chelsea/Clinton,Combination or Another Race,2011,Percent,0.02621,104
Midtown Business District,Combination or Another Race,2011,Percent,0.02621,105
Murray Hill/Stuyvesant,Combination or Another Race,2011,Percent,0.02136,106
Lower East Side,Combination or Another Race,2011,Percent,0.02405,103
Battery Park/Tribeca,Combination or Another Race,2011,Percent,0.0319,101
Greenwich Village,Combination or Another Race,2011,Percent,0.0319,102
Tottenville,Combination or Another Race,2011,Percent,0.00684,503
South Beach,Combination or Another Race,2011,Percent,0.00671,502
St. George,Combination or Another Race,2011,Percent,0.02266,501
Williamsburg/Greenpoint,Combination or Another Race,2011,Percent,0.01334,301
Bushwick,Combination or Another Race,2011,Percent,0.00898,304
Bedford Stuyvesant,Combination or Another Race,2011,Percent,0.01454,303
Fort Greene/Brooklyn Hts,Combination or Another Race,2011,Percent,0.03538,302
Park Slope,Combination or Another Race,2011,Percent,0.02677,306
Crown Heights North,Combination or Another Race,2011,Percent,0.02151,308
Brownsville,Combination or Another Race,2011,Percent,0.01243,316
East New York,Combination or Another Race,2011,Percent,0.01646,305
Canarsie,Combination or Another Race,2011,Percent,0.01481,318
East Flatbush,Combination or Another Race,2011,Percent,0.01752,317
Crown Heights South,Combination or Another Race,2011,Percent,0.01352,309
Sunset Park,Combination or Another Race,2011,Percent,0.01499,307
Bay Ridge,Combination or Another Race,2011,Percent,0.01544,310
Borough Park,Combination or Another Race,2011,Percent,0.0071,312
Flatbush/Midwood,Combination or Another Race,2011,Percent,0.01749,314
Sheepshead Bay,Combination or Another Race,2011,Percent,0.00974,315
Bensonhurst,Combination or Another Race,2011,Percent,0.00835,311
Coney Island,Combination or Another Race,2011,Percent,0.01062,313
Astoria,Combination or Another Race,2011,Percent,0.02291,401
Jackson Heights,Combination or Another Race,2011,Percent,0.0198,403
Flushing,Combination or Another Race,2011,Percent,0.0193,407
Bayside,Combination or Another Race,2011,Percent,0.01794,411
Queens Village,Combination or Another Race,2011,Percent,0.03591,413
Fresh Meadows/Briarwood,Combination or Another Race,2011,Percent,0.03103,408
Elmhurst/Corona,Combination or Another Race,2011,Percent,0.01121,404
Rego Park/Forest Hills,Combination or Another Race,2011,Percent,0.02485,406
Sunnyside/Woodside,Combination or Another Race,2011,Percent,0.01696,402
